redizo,school_name,serving_mc,address,zrizovatel,cohort_birth_year,entry_year,births_mc,streets_school,streets_mc,catchment_share,kapacita_registered,capacity_entry_grade,expected_entrants_ceiling,expected_entrants_corrected,external_flow_ratio_used,pressure_ceiling,pressure_corrected,pressure_corrected_min,pressure_corrected_max
600041204,"Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace",Praha 10,"Břečťanová 2919/6, Záběhlice, 106 00 Praha",Městská část Praha 10,2021,2027,1256,56,521,0.1075,638,63.8,135.0,78.0,0.5777,2.116,1.222,1.1,1.358
600041191,"Základní škola, Praha 10, Nad Vodovodem 460/81, příspěvková organizace",Praha 10,"Nad vodovodem 460/81, Malešice, 108 00 Praha",Městská část Praha 10,2021,2027,1256,53,521,0.1017,630,63.0,127.8,73.8,0.5777,2.028,1.172,1.054,1.302
600041182,"Základní škola, Praha 10, U Vršovického nádraží 950/1, příspěvková organizace",Praha 10,"U vršovického nádraží 950/1, Vršovice, 101 00 Praha",Městská část Praha 10,2021,2027,1256,40,521,0.0768,490,49.0,96.4,55.7,0.5777,1.968,1.137,1.023,1.263
600041158,"Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace",Praha 10,"Vladivostocká 1035/6, Vršovice, 100 00 Praha",Městská část Praha 10,2021,2027,1256,53,521,0.1017,650,65.0,127.8,73.8,0.5777,1.966,1.135,1.022,1.262
600041204,"Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace",Praha 10,"Břečťanová 2919/6, Záběhlice, 106 00 Praha",Městská část Praha 10,2024,2030,1050,56,521,0.1075,638,63.8,112.9,65.2,0.5777,1.769,1.022,0.92,1.135
600041085,"Základní škola, Praha 10, Olešská 2222/18, příspěvková organizace",Praha 10,"Olešská 2222/18, Strašnice, 100 00 Praha",Městská část Praha 10,2021,2027,1256,50,521,0.096,690,69.0,120.5,69.6,0.5777,1.747,1.009,0.908,1.121
600041191,"Základní škola, Praha 10, Nad Vodovodem 460/81, příspěvková organizace",Praha 10,"Nad vodovodem 460/81, Malešice, 108 00 Praha",Městská část Praha 10,2024,2030,1050,53,521,0.1017,630,63.0,106.8,61.7,0.5777,1.695,0.979,0.881,1.088
600041123,"Základní škola, Praha 10, Švehlova 2900/12, příspěvková organizace",Praha 10,"Švehlova 2900/12, Záběhlice, 106 00 Praha",Městská část Praha 10,2021,2027,1256,44,521,0.0845,630,63.0,106.1,61.3,0.5777,1.684,0.973,0.875,1.081
600041182,"Základní škola, Praha 10, U Vršovického nádraží 950/1, příspěvková organizace",Praha 10,"U vršovického nádraží 950/1, Vršovice, 101 00 Praha",Městská část Praha 10,2024,2030,1050,40,521,0.0768,490,49.0,80.6,46.6,0.5777,1.645,0.95,0.855,1.056
600041158,"Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace",Praha 10,"Vladivostocká 1035/6, Vršovice, 100 00 Praha",Městská část Praha 10,2024,2030,1050,53,521,0.1017,650,65.0,106.8,61.7,0.5777,1.643,0.949,0.854,1.055
691019061,"Základní škola V Olšinách, Praha 10, příspěvková organizace",Praha 10,"V olšinách 200/69, Strašnice, 100 00 Praha",Městská část Praha 10,2021,2027,1256,11,521,0.0211,175,17.5,26.5,15.3,0.5777,1.515,0.875,0.788,0.973
600041212,"Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace",Praha 10,"Gutova 1987/39, Strašnice, 100 00 Praha",Městská část Praha 10,2021,2027,1256,44,521,0.0845,720,72.0,106.1,61.3,0.5777,1.473,0.851,0.766,0.946
600041085,"Základní škola, Praha 10, Olešská 2222/18, příspěvková organizace",Praha 10,"Olešská 2222/18, Strašnice, 100 00 Praha",Městská část Praha 10,2024,2030,1050,50,521,0.096,690,69.0,100.8,58.2,0.5777,1.46,0.844,0.759,0.937
600041123,"Základní škola, Praha 10, Švehlova 2900/12, příspěvková organizace",Praha 10,"Švehlova 2900/12, Záběhlice, 106 00 Praha",Městská část Praha 10,2024,2030,1050,44,521,0.0845,630,63.0,88.7,51.2,0.5777,1.408,0.813,0.732,0.903
600041107,"Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace",Praha 10,"Hostýnská 2100/2, Strašnice, 108 00 Praha",Městská část Praha 10,2021,2027,1256,42,521,0.0806,750,75.0,101.3,58.5,0.5777,1.35,0.78,0.702,0.867
600041140,"Základní škola, Praha 10, Jakutská 1210/2, příspěvková organizace",Praha 10,"Jakutská 1210/2, Vršovice, 100 00 Praha",Městská část Praha 10,2021,2027,1256,32,521,0.0614,585,58.5,77.1,44.6,0.5777,1.319,0.762,0.686,0.846
691019061,"Základní škola V Olšinách, Praha 10, příspěvková organizace",Praha 10,"V olšinách 200/69, Strašnice, 100 00 Praha",Městská část Praha 10,2024,2030,1050,11,521,0.0211,175,17.5,22.2,12.8,0.5777,1.267,0.732,0.659,0.813
600041212,"Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace",Praha 10,"Gutova 1987/39, Strašnice, 100 00 Praha",Městská část Praha 10,2024,2030,1050,44,521,0.0845,720,72.0,88.7,51.2,0.5777,1.232,0.711,0.64,0.79
