mc,street,house_number_range,red_izo,zs_name,source_file,effective_date
Praha 10,Amurská,,600041158,"Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace",vyhlaska-hmp-19-2025_via-P6.pdf,2026-01-01
Praha 10,Bohdalecká,,600041158,"Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace",vyhlaska-hmp-19-2025_via-P6.pdf,2026-01-01
Praha 10,Brtnická,,600041158,"Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace",vyhlaska-hmp-19-2025_via-P6.pdf,2026-01-01
Praha 10,Chodovská,,600041158,"Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace",vyhlaska-hmp-19-2025_via-P6.pdf,2026-01-01
Praha 10,Elektrárenská,,600041158,"Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace",vyhlaska-hmp-19-2025_via-P6.pdf,2026-01-01
Praha 10,Gruzínská,č. 1–8,600041158,"Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace",vyhlaska-hmp-19-2025_via-P6.pdf,2026-01-01
Praha 10,Jerevanská,č. 1–10,600041158,"Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace",vyhlaska-hmp-19-2025_via-P6.pdf,2026-01-01
Praha 10,K topírně,,600041158,"Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace",vyhlaska-hmp-19-2025_via-P6.pdf,2026-01-01
Praha 10,Karpatská,č. 1–10,600041158,"Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace",vyhlaska-hmp-19-2025_via-P6.pdf,2026-01-01
Praha 10,Kazašská,,600041158,"Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace",vyhlaska-hmp-19-2025_via-P6.pdf,2026-01-01
Praha 10,Kišiněvská,č. 1-10,600041158,"Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace",vyhlaska-hmp-19-2025_via-P6.pdf,2026-01-01
Praha 10,Krasnojarská,č. 1-9,600041158,"Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace",vyhlaska-hmp-19-2025_via-P6.pdf,2026-01-01
