year,reference_date,mc,mc_code,count,count_kind,source_slug,kind,notes
2004,2004-12-31,Praha 3,547107,668,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2004'; row 'Živě narození / Live births'
2004,2004-12-31,Praha 7,547141,403,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2004'; row 'Živě narození / Live births'
2004,2004-12-31,Praha 8,547158,1001,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2004'; row 'Živě narození / Live births'
2004,2004-12-31,Praha 9,547166,454,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2004'; row 'Živě narození / Live births'
2004,2004-12-31,Praha 10,547174,988,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2004'; row 'Živě narození / Live births'
2004,2004-12-31,Praha 14,547221,459,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2004'; row 'Živě narození / Live births'
2005,2005-12-31,Praha 3,547107,705,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2005'; row 'Živě narození / Live births'
2005,2005-12-31,Praha 7,547141,441,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2005'; row 'Živě narození / Live births'
2005,2005-12-31,Praha 8,547158,1132,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2005'; row 'Živě narození / Live births'
2005,2005-12-31,Praha 9,547166,468,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2005'; row 'Živě narození / Live births'
2005,2005-12-31,Praha 10,547174,1010,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2005'; row 'Živě narození / Live births'
2005,2005-12-31,Praha 14,547221,487,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2005'; row 'Živě narození / Live births'
2006,2006-12-31,Praha 3,547107,673,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2006'; row 'Živě narození / Live births'
2006,2006-12-31,Praha 7,547141,418,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2006'; row 'Živě narození / Live births'
2006,2006-12-31,Praha 8,547158,1138,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2006'; row 'Živě narození / Live births'
2006,2006-12-31,Praha 9,547166,481,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2006'; row 'Živě narození / Live births'
2006,2006-12-31,Praha 10,547174,1122,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2006'; row 'Živě narození / Live births'
