year,reference_date,mc,mc_code,age,age_band_min,age_band_max,count,count_kind,coverage_pct,source_slug,kind,notes
2024,2024-01-01,Praha 3,547107,,3,5,1879,walking_distance_to_MŠ,94,ipr-prognoza-2024-2050-vzdelavani,historical,IPR Příloha P.3.02 row "MČ Praha 3"; band proxy; true age-3-5 cohort ≈ count/(coverage_pct/100)
2024,2024-01-01,Praha 7,547141,,3,5,1439,walking_distance_to_MŠ,98,ipr-prognoza-2024-2050-vzdelavani,historical,IPR Příloha P.3.02 row "MČ Praha 7"
2024,2024-01-01,Praha 8,547158,,3,5,2332,walking_distance_to_MŠ,78,ipr-prognoza-2024-2050-vzdelavani,historical,IPR Příloha P.3.02 row "MČ Praha 8"
2024,2024-01-01,Praha 9,547166,,3,5,1298,walking_distance_to_MŠ,61,ipr-prognoza-2024-2050-vzdelavani,historical,IPR Příloha P.3.02 row "MČ Praha 9"
2024,2024-01-01,Praha 10,547174,,3,5,2856,walking_distance_to_MŠ,84,ipr-prognoza-2024-2050-vzdelavani,historical,IPR Příloha P.3.02 row "MČ Praha 10"
2024,2024-01-01,Praha 14,547221,,3,5,1190,walking_distance_to_MŠ,76,ipr-prognoza-2024-2050-vzdelavani,historical,IPR Příloha P.3.02 row "MČ Praha 14"
2024,2024-01-01,Praha 3,547107,,6,14,4778,walking_distance_to_ZŠ,96,ipr-prognoza-2024-2050-vzdelavani,historical,IPR Příloha P.3.04 row "MČ Praha 3"
2024,2024-01-01,Praha 7,547141,,6,14,3553,walking_distance_to_ZŠ,99,ipr-prognoza-2024-2050-vzdelavani,historical,IPR Příloha P.3.04 row "MČ Praha 7"
2024,2024-01-01,Praha 8,547158,,6,14,7278,walking_distance_to_ZŠ,84,ipr-prognoza-2024-2050-vzdelavani,historical,IPR Příloha P.3.04 row "MČ Praha 8"
2024,2024-01-01,Praha 9,547166,,6,14,3709,walking_distance_to_ZŠ,68,ipr-prognoza-2024-2050-vzdelavani,historical,IPR Příloha P.3.04 row "MČ Praha 9"
2024,2024-01-01,Praha 10,547174,,6,14,7337,walking_distance_to_ZŠ,82,ipr-prognoza-2024-2050-vzdelavani,historical,IPR Příloha P.3.04 row "MČ Praha 10"
2024,2024-01-01,Praha 14,547221,,6,14,2809,walking_distance_to_ZŠ,66,ipr-prognoza-2024-2050-vzdelavani,historical,IPR Příloha P.3.04 row "MČ Praha 14"
2011,2011-12-31,Praha 3,547107,,0,4,3510,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2011'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2011,2011-12-31,Praha 3,547107,,5,9,2394,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2011'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2011,2011-12-31,Praha 3,547107,,10,14,1989,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2011'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
2011,2011-12-31,Praha 3,547107,,15,19,2595,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2011'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2011,2011-12-31,Praha 7,547141,,0,4,2430,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2011'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2011,2011-12-31,Praha 7,547141,,5,9,1517,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2011'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2011,2011-12-31,Praha 7,547141,,10,14,1275,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2011'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
2011,2011-12-31,Praha 7,547141,,15,19,1418,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2011'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2011,2011-12-31,Praha 8,547158,,0,4,6073,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2011'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2011,2011-12-31,Praha 8,547158,,5,9,4385,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2011'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2011,2011-12-31,Praha 8,547158,,10,14,3362,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2011'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
2011,2011-12-31,Praha 8,547158,,15,19,3915,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2011'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2011,2011-12-31,Praha 9,547166,,0,4,3289,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2011'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2011,2011-12-31,Praha 9,547166,,5,9,2085,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2011'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2011,2011-12-31,Praha 9,547166,,10,14,1683,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2011'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
2011,2011-12-31,Praha 9,547166,,15,19,2025,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2011'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2011,2011-12-31,Praha 10,547174,,0,4,5772,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2011'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2011,2011-12-31,Praha 10,547174,,5,9,3931,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2011'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2011,2011-12-31,Praha 10,547174,,10,14,3267,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2011'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
2011,2011-12-31,Praha 10,547174,,15,19,3897,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2011'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2011,2011-12-31,Praha 14,547221,,0,4,2611,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2011'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2011,2011-12-31,Praha 14,547221,,5,9,2238,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2011'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2011,2011-12-31,Praha 14,547221,,10,14,2113,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2011'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
2011,2011-12-31,Praha 14,547221,,15,19,2677,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2011'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2012,2012-12-31,Praha 3,547107,,0,4,3657,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2012,2012-12-31,Praha 3,547107,,5,9,2524,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2012,2012-12-31,Praha 3,547107,,10,14,1993,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
2012,2012-12-31,Praha 3,547107,,15,19,2414,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2012,2012-12-31,Praha 7,547141,,0,4,2559,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2012,2012-12-31,Praha 7,547141,,5,9,1680,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2012,2012-12-31,Praha 7,547141,,10,14,1273,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
2012,2012-12-31,Praha 7,547141,,15,19,1350,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2012,2012-12-31,Praha 8,547158,,0,4,5958,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2012,2012-12-31,Praha 8,547158,,5,9,4769,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2012,2012-12-31,Praha 8,547158,,10,14,3364,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
2012,2012-12-31,Praha 8,547158,,15,19,3648,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
