mc,mc_code,year,variant,population,source_slug,notes
Praha 3,547107,2023,stav,80761,ipr-prognoza-2024-2050-obyvatelstvo,IPR Příloha P.2.04; ČSÚ bilance k 31.12.2023
Praha 3,547107,2030,PROG,85647,ipr-prognoza-2024-2050-obyvatelstvo,realistic projection (PROG)
Praha 3,547107,2030,MAX+,86377,ipr-prognoza-2024-2050-obyvatelstvo,projection-only variant
Praha 3,547107,2030,MAX,83016,ipr-prognoza-2024-2050-obyvatelstvo,projection-only variant
Praha 3,547107,2030,MID,82257,ipr-prognoza-2024-2050-obyvatelstvo,projection-only variant
Praha 3,547107,2030,NUL,81579,ipr-prognoza-2024-2050-obyvatelstvo,projection-only variant
Praha 3,547107,2050,PROG,100147,ipr-prognoza-2024-2050-obyvatelstvo,realistic projection (PROG)
Praha 3,547107,2050,MAX+,105392,ipr-prognoza-2024-2050-obyvatelstvo,projection-only variant
Praha 3,547107,2050,MAX,89113,ipr-prognoza-2024-2050-obyvatelstvo,projection-only variant
Praha 3,547107,2050,MID,84739,ipr-prognoza-2024-2050-obyvatelstvo,projection-only variant
Praha 3,547107,2050,NUL,76155,ipr-prognoza-2024-2050-obyvatelstvo,projection-only variant
Praha 7,547141,2023,stav,47350,ipr-prognoza-2024-2050-obyvatelstvo,
Praha 7,547141,2030,PROG,51920,ipr-prognoza-2024-2050-obyvatelstvo,
Praha 7,547141,2030,MAX+,53759,ipr-prognoza-2024-2050-obyvatelstvo,
Praha 7,547141,2030,MAX,50199,ipr-prognoza-2024-2050-obyvatelstvo,
Praha 7,547141,2030,MID,48878,ipr-prognoza-2024-2050-obyvatelstvo,
Praha 7,547141,2030,NUL,48181,ipr-prognoza-2024-2050-obyvatelstvo,
Praha 7,547141,2050,PROG,67021,ipr-prognoza-2024-2050-obyvatelstvo,
Praha 7,547141,2050,MAX+,78146,ipr-prognoza-2024-2050-obyvatelstvo,
Praha 7,547141,2050,MAX,55840,ipr-prognoza-2024-2050-obyvatelstvo,
Praha 7,547141,2050,MID,48334,ipr-prognoza-2024-2050-obyvatelstvo,
Praha 7,547141,2050,NUL,45736,ipr-prognoza-2024-2050-obyvatelstvo,
Praha 8,547158,2023,stav,110955,ipr-prognoza-2024-2050-obyvatelstvo,
