school_year,school_year_ord,table_code,table_topic,indicator,value,source_url,snapshot_fetched_at
2011/2012,2011,C1.25.1,zápis: výsledky,(celkem) :: Počet škol,233,https://statis.msmt.gov.cz/rocenka/rocenka.asp?kapit=C&tab=C1.25.1&rck=6,2026-05-19T12:23:11Z
2011/2012,2011,C1.25.1,zápis: výsledky,(celkem) :: Zapisovaní / celkem,14831,https://statis.msmt.gov.cz/rocenka/rocenka.asp?kapit=C&tab=C1.25.1&rck=6,2026-05-19T12:23:11Z
2011/2012,2011,C1.25.1,zápis: výsledky,(celkem) :: z toho dívky,7003,https://statis.msmt.gov.cz/rocenka/rocenka.asp?kapit=C&tab=C1.25.1&rck=6,2026-05-19T12:23:11Z
2011/2012,2011,C1.25.1,zápis: výsledky,(celkem) :: Zapsaní / celkem,11777,https://statis.msmt.gov.cz/rocenka/rocenka.asp?kapit=C&tab=C1.25.1&rck=6,2026-05-19T12:23:11Z
2011/2012,2011,C1.25.1,zápis: výsledky,(celkem) :: z toho dívky,5818,https://statis.msmt.gov.cz/rocenka/rocenka.asp?kapit=C&tab=C1.25.1&rck=6,2026-05-19T12:23:11Z
2011/2012,2011,C1.25.1,zápis: výsledky,(celkem) :: Převedení na jinou školu / celkem,892,https://statis.msmt.gov.cz/rocenka/rocenka.asp?kapit=C&tab=C1.25.1&rck=6,2026-05-19T12:23:11Z
2011/2012,2011,C1.25.1,zápis: výsledky,(celkem) :: z toho dívky,434,https://statis.msmt.gov.cz/rocenka/rocenka.asp?kapit=C&tab=C1.25.1&rck=6,2026-05-19T12:23:11Z
2011/2012,2011,C1.25.1,zápis: výsledky,(celkem) :: S žádostí o odklad docházky / celkem,2102,https://statis.msmt.gov.cz/rocenka/rocenka.asp?kapit=C&tab=C1.25.1&rck=6,2026-05-19T12:23:11Z
2011/2012,2011,C1.25.1,zápis: výsledky,(celkem) :: z toho dívky,716,https://statis.msmt.gov.cz/rocenka/rocenka.asp?kapit=C&tab=C1.25.1&rck=6,2026-05-19T12:23:11Z
2011/2012,2011,C1.25.1,zápis: výsledky,(celkem) :: Vzdělávání podle § 42 šk. zák. / celkem,0,https://statis.msmt.gov.cz/rocenka/rocenka.asp?kapit=C&tab=C1.25.1&rck=6,2026-05-19T12:23:11Z
2011/2012,2011,C1.25.1,zápis: výsledky,(celkem) :: z toho dívky,0,https://statis.msmt.gov.cz/rocenka/rocenka.asp?kapit=C&tab=C1.25.1&rck=6,2026-05-19T12:23:11Z
2011/2012,2011,C1.25.1,zápis: výsledky,(celkem) :: Neuzavřený zápis 5letých / celkem,60,https://statis.msmt.gov.cz/rocenka/rocenka.asp?kapit=C&tab=C1.25.1&rck=6,2026-05-19T12:23:11Z
2011/2012,2011,C1.25.1,zápis: výsledky,(celkem) :: z toho dívky,35,https://statis.msmt.gov.cz/rocenka/rocenka.asp?kapit=C&tab=C1.25.1&rck=6,2026-05-19T12:23:11Z
2011/2012,2011,C1.25.1,zápis: výsledky,v tom / poprvé u zápisu :: Počet škol,230,https://statis.msmt.gov.cz/rocenka/rocenka.asp?kapit=C&tab=C1.25.1&rck=6,2026-05-19T12:23:11Z
2011/2012,2011,C1.25.1,zápis: výsledky,v tom / poprvé u zápisu :: Zapisovaní / celkem,12423,https://statis.msmt.gov.cz/rocenka/rocenka.asp?kapit=C&tab=C1.25.1&rck=6,2026-05-19T12:23:11Z
2011/2012,2011,C1.25.1,zápis: výsledky,v tom / poprvé u zápisu :: z toho dívky,6129,https://statis.msmt.gov.cz/rocenka/rocenka.asp?kapit=C&tab=C1.25.1&rck=6,2026-05-19T12:23:11Z
2011/2012,2011,C1.25.1,zápis: výsledky,v tom / poprvé u zápisu :: Zapsaní / celkem,9489,https://statis.msmt.gov.cz/rocenka/rocenka.asp?kapit=C&tab=C1.25.1&rck=6,2026-05-19T12:23:11Z
