mc,name,redizo,izo_zs,address,zrizovatel,type,kapacita_registered,snapshot_date,source_url,notes
Praha 10,GENIUS Základní škola s.r.o.,691016151,181129710,"Světická 1229/8, Strašnice, 100 00 Praha",,private,80,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 10,Kouzelné školy - mateřská škola a základní škola,691000557,181007371,"Kodaňská 54/10, Vršovice, 101 00 Praha","Bankovní akademie, a.s.",private,150,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 10,Mateřská škola a základní škola Beehive s.r.o.,691002711,181034395,"Na Šafránce 1651/9, Vinohrady, 101 00 Praha",,private,100,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 10,Naše škola Praha - základní škola s.r.o.,691013543,181106043,"Záběhlická 1658/48, Záběhlice, 106 00 Praha",,private,190,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 10,Osvobozená základní škola,691014914,181120241,"Na Míčánkách 713/11, Vršovice, 101 00 Praha",Osvobozená škola z.ú.,private,49,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 10,"Střední škola, Základní škola a Mateřská škola, Praha 10, Chotouňská 476",600021360,102337993,"Chotouňská 476/1, Malešice, 108 00 Praha",Hlavní město Praha,state,115,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,zs_specialni
Praha 10,"Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace",600041158,102337705,"Vladivostocká 1035/6, Vršovice, 100 00 Praha",Městská část Praha 10,state,650,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 10,"Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace",600041093,047611057,"Kodaňská 658/16, Vršovice, 101 00 Praha",Městská část Praha 10,state,594,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 10,"Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace",600041077,047611898,"Brigádníků 510/14, Strašnice, 100 00 Praha",Městská část Praha 10,state,610,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 10,"Základní škola V Olšinách, Praha 10, příspěvková organizace",691019061,250003767,"V olšinách 200/69, Strašnice, 100 00 Praha",Městská část Praha 10,state,175,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
